Unnamed: 0,id,locality,postal_code,region,province,type_of_property,subtype_of_property,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
20711,9974640,Liège,4030,Wallonie,Liège,1,HOUSE,215000.0,3.0,130.0,SEMI_EQUIPPED,SEMI_EQUIPPED,,0,1.0,1.0,1.0,1.0,400.0,2.0,0.0,1
43220,10120257,Middelkerke,8430,Flanders,West Flanders,0,APARTMENT,215000.0,1.0,50.0,INSTALLED,INSTALLED,1.0,0,1.0,,,,,,,1
453,9989074,Walcourt,5650,Wallonie,Namur,1,HOUSE,220000.0,3.0,130.0,NO_INFO,-1,,0,,,,,1365.0,4.0,,1
6073,10023937,Bruxelles  - Sablon,1050,Brussels,Brussels,0,APARTMENT,1150000.0,2.0,180.0,INSTALLED,INSTALLED,0.0,0,,,,,,2.0,,1
8008,9746188,Anderlecht,1070,Brussels,Brussels,0,APARTMENT,229000.0,2.0,81.0,NO_INFO,-1,0.0,0,,,,,,2.0,,1
7232,10084255,Uccle,1180,Brussels,Brussels,0,APARTMENT,315000.0,1.0,84.0,HYPER_EQUIPPED,1,0.0,0,1.0,10.0,,,,2.0,,1
30520,10131842,Edegem,2650,Flanders,Antwerp,1,HOUSE,299000.0,4.0,163.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,1.0,35.0,1.0,200.0,290.0,2.0,,0
9082,9974418,St-Josse-Ten-Noode,1210,Brussels,Brussels,0,APARTMENT,299000.0,2.0,93.0,INSTALLED,INSTALLED,,0,,,,,,1.0,,1
48182,10144813,Lummen,3560,Flanders,Limburg,1,VILLA,785000.0,5.0,385.0,HYPER_EQUIPPED,1,0.0,0,,,1.0,2932.0,2932.0,4.0,0.0,1
25464,10134756,Genval,1332,Wallonie,Walloon Brabant,1,HOUSE,650000.0,4.0,235.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,1,1.0,25.0,1.0,,406.0,2.0,,1
12925,9835618,OBAIX,6230,Wallonie,Hainaut,0,DUPLEX,300000.0,2.0,115.0,NO_INFO,-1,0.0,0,1.0,39.0,,,,,,1
53118,8199545,Tienen,3300,Flanders,Flemish Brabant,0,SERVICE_FLAT,235000.0,1.0,52.0,NO_INFO,-1,0.0,0,,,,,,,0.0,1
10344,10095955,Molenbeek-Saint-Jean,1080,Brussels,Brussels,1,TOWN_HOUSE,399000.0,2.0,160.0,NO_INFO,-1,0.0,0,1.0,35.0,1.0,,115.0,,0.0,1
59487,9757197,Lede,9340,Flanders,East Flanders,0,APARTMENT,359000.0,3.0,120.0,NO_INFO,-1,0.0,0,1.0,14.0,1.0,73.0,,,,1
39838,10144994,Sijsele,8340,Flanders,West Flanders,1,HOUSE,393000.0,3.0,160.0,NO_INFO,-1,,0,,,,,203.0,,0.0,1
48594,10073412,Kessel-Lo,3010,Flanders,Flemish Brabant,1,TOWN_HOUSE,549000.0,3.0,214.0,INSTALLED,INSTALLED,0.0,0,1.0,20.0,1.0,183.0,268.0,2.0,0.0,1
13748,9801862,Charleroi Goutroux,6030,Wallonie,Hainaut,1,HOUSE,120000.0,4.0,111.0,SEMI_EQUIPPED,SEMI_EQUIPPED,,0,,,,,0.0,2.0,,0
23706,8435518,Chaumont-Gistoux,1325,Wallonie,Walloon Brabant,1,VILLA,445000.0,3.0,194.0,NO_INFO,-1,0.0,0,1.0,,,,2126.0,4.0,1.0,1
46061,9618204,Borgloon,3840,Flanders,Limburg,0,APARTMENT,245927.0,2.0,104.0,NO_INFO,-1,,0,1.0,14.0,,,,,,1
1838,10100210,St-Servais,5002,Wallonie,Namur,1,HOUSE,185000.0,3.0,110.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,,,1.0,,96.0,2.0,,0
35040,10050234,Herselt,2230,Flanders,Antwerp,1,HOUSE,249000.0,3.0,136.0,NO_INFO,-1,,0,,,,,1249.0,4.0,,0
28153,10105692,Retie,2470,Flanders,Antwerp,1,VILLA,749000.0,3.0,300.0,NO_INFO,-1,,0,1.0,,,,1750.0,4.0,,1
